Account Owner,Territory Name,Fit Score,Priority,Account ID,Account Name,Website,Annual Revenue,Current E-Commerce Platform,Industry,Sales Notes,Engagment Approach,Owner/ Driver,"Featured Campaigns, Events & Webinars",Revenue Plays,Comments
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002d0IWWQA2,Wagner Online Electronic Stores,http://wagneronline.com.au,"USD 5,000,000",Custom Build,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,001OG00000kHmGOYA0,Knox Basketball,knoxbasketball.com.au,"USD 5,000,000",WooCommerce,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,001OG00000kHHCuYAO,Thank Tommi,tommiskin.co,"USD 5,000,000",Shopify Plan Advanced/Basic,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,001OG00000kHe8RYAS,Koorie Heritage Trust,http://koorieheritagetrust.com.au,"USD 5,000,000",WooCommerce,Art & Photography,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00000kHKLjYAO,Acupressure Centre,http://acupressure.com.au,"USD 5,000,000",WooCommerce,Health & Beauty (excl. Pharma),On Shopify,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002kYGFIQA4,Made For School,madeforschool.com.au,"USD 5,000,000",Adobe Commerce (Magento),Apparel & Accessories,,Outbound Motions,Shina,Select,Select,No contacts enriched
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,0018V00002kYJFJQA4,Naturally Cane,naturallycane.com.au,"USD 5,000,000",WooCommerce,Furniture,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kHbaYYAS,Emerald Industrial Supplies,http://emeraldindustrial.com.au,"USD 5,000,000",Adobe Commerce (Magento),Construction & Industrial,,Outbound Motions,Shina,Select,Select,"B2B operations, redirects to constructionsupply.com.au"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kHFP5YAO,Pacific Office Supplies,pacificoffice.com.au,"USD 5,000,000",OpenCart,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00000kHGFbYAO,BA Group Australia,http://bagroupaustralia.com.au,"USD 5,000,000",Adobe Commerce (Magento),Construction & Industrial,,Outbound Motions,Shina,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002d0HVoQAM,Bleasdale Vineyards,bleasdale.com.au,"USD 5,000,000",Custom Build,Alcohol,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kHNdQYAW,Pro Futsal,profutsal.com.au,"USD 5,000,000",WooCommerce,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Medium,0018V00002lHZQcQAO,cedar magic,cedarmagic.com.au,"USD 5,000,000",BigCommerce,Furniture,,Outbound Motions,Shina,Select,Select,"Reviewed for bigCommerce OB cadence - no contacts enriched via CoPilot or Gumloop Contact Enrichment workflow.
- Shina, 16 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Medium,0018V00002czbV4QAI,Vinotopia,vinotopia.com.au,"USD 5,000,000",Squarespace,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002lHaClQAK,Blerick Tree Farm,dialatree.com.au,"USD 5,000,000",WooCommerce,Animals & Pet Supplies,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002kYGHuQAO,Satelight Design,satelight.com.au,"USD 5,000,000",Adobe Commerce (Magento),Furniture,,Furniture Pilot,Chachi,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kHRm8YAG,ASM Eclipse,http://asmeclipse.com.au,"USD 5,000,000",Wix,Gifts & Collectibles,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002lHJPmQAO,AARK COLLECTIVE PTY,aarkcollective.com,"USD 5,000,000",WooCommerce,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000y95w0YAA,EQUITANA Australia,http://equitana.com.au,"USD 5,000,000",,Services,,Select,Select,Select,Select,
