Account Owner,Territory Name,Fit Score,Priority,Account ID,Account Name,Website,Annual Revenue,Current E-Commerce Platform,Industry,Sales Notes,Engagment Approach,Owner/ Driver,"Featured Campaigns, Events & Webinars",Revenue Plays,Comments
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,001OG000015zSdVYAU,Hyne Timber,http://hyne.com.au,"USD 200,000,000",,Stationery & Office Supplies,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,High,0018V00002kQJOkQAO,Le Coq Sportif,lecoqsportifaustraliashop.com,"USD 119,914,000",Shopify Plan Advanced/Basic,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Medium,0018V00002gpv4dQAA,Mico,mico.co.nz,"USD 47,344,000",BigCommerce,Home Decor,,Outbound Motions,Shina,Select,Select,"Reviewed for BigCommerce OB cadence - primarily B2B operations.
- Shina, 13 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002kQJJlQAO,Pacificomm Group,pacificomm.co.nz,"USD 45,131,000",Custom Build,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJHQQA4,Brickworks Building Products,brickworksbuildingproducts.com.au,"USD 39,985,000",Shopify Plan Advanced/Basic,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002sP5SpQAK,University of Queensland Union,uqunion.com.au,"USD 39,279,000",WooCommerce,Education,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,001OG00000kHCo6YAG,Cricket Network Australia,cricket.com.au,"USD 38,482,691",Other,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002qytKjQAI,JATCORP,jatcorp.com,"USD 37,991,000",WooCommerce,Health & Beauty (excl. Pharma),B2B only - milk products,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG00000kHhfAYAS,totalenergies.com.au,http://totalenergies.com.au,"USD 37,474,914",Custom Build,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJGnQAO,Haircare Group,haircareaust.com,"USD 37,325,000",Adobe Commerce (Magento),Health & Beauty (excl. Pharma),"Open opp under Gauvin Group with AK - SA, 21 Jan 2026",Open Opp,Amaly,Select,Select,"Open opp under Gauvin Group with AK - SA, 21 Jan 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00001DSx7fYAD,Nsmg,http://nsmg.co.nz,"USD 37,301,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG000016MvuvYAC,grabone,http://grabone.co.nz,"USD 37,288,275",,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJHHQA4,Garden City Plastics,gardencityplastics.com,"USD 37,051,000",Other,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJFdQAO,HRV,hrv.co.nz,"USD 36,898,000",Other,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,High,0018V00002lHaDsQAK,Swimart,swimart.com.au,"USD 36,769,000",WooCommerce,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002qysyCQAQ,Sydney Dance Company,sydneydancecompany.com,"USD 36,224,000",WooCommerce,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002lHZiQQAW,Neverfail Spring Water,neverfail.com.au,"USD 36,080,000",Custom Build,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002qytKDQAY,Lexus of Blackburn,lexusofblackburn.com.au,"USD 36,047,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002kQJFkQAO,Simpson Strong-Tie,strongtie.com.au,"USD 35,892,000",,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,High,0018V00002kQJCcQAO,Skye Group,skyegroup.com.au,"USD 35,873,000",WooCommerce,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002kQJIJQA4,Harris Technology,ht8.com.au,"USD 35,391,000",WooCommerce,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,001OG00000kHZD6YAO,Honda New Zealand,honda.co.nz,"USD 35,333,724",Other,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002qytP5QAI,DON KRC,isdonisgood.com.au,"USD 35,241,000",,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002lHa0rQAC,Komatsu Forklift Australia,komatsuforklift.com.au,"USD 35,040,000",Other,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002lHaGgQAK,Solargain,solargain.com.au,"USD 34,819,000",Custom Build,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,001OG000016MtX5YAK,"Crocs Australia Pty., Ltd.",crocs.com.au,"USD 34,451,230",Other,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJQ3QAO,AFGRI Equipment,afgri.com.au,"USD 34,225,000",Adobe Commerce (Magento),Vehicles & Parts,no ecom,Outbound Motions,Shina,Select,Select,No ecommerce
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002jOlAaQAK,Mauri,mauri.com.au,"USD 34,188,000",Other,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,High,0018V00002d0IjkQAE,Pillow Talk Pty Ltd,pillowtalk.com.au,"USD 34,000,000",BigCommerce,Home Decor,#ANZtop150 #May22zoominfo,Open Opp,Chachi,Select,Select,"Open opportunity with Chachi. Vicky Robinson (Head of Ecommerce) is based in Brisbane but potential for Shopify Connect SYD invite.
- Shina, 13 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002eB6qEQAS,Neil's Parts,neils.com.au,"USD 33,863,000",Adobe Commerce (Magento),Home Decor,"URL redirects to worthingtonagparts.com.au - SA, 14 Jan 2026",Outbound Motions,Shina,Select,Select,Distributor
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002qyt1DQAQ,Open Country Dairy,opencountry.co.nz,"USD 33,093,000",BigCommerce,Food & Beverage (excl. Alcohol),,Outbound Motions,Shina,Select,Select,"No ecommerce presence, seems primarily B2B.
- Shina, 13 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002qysuHQAQ,"King's College, Auckland",kingscollege.school.nz,"USD 32,792,000",Shopify Plan Advanced/Basic,Education,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,0018V00002qystaQAA,Lotto New Zealand,mylotto.co.nz,"USD 31,839,000",Custom Build,Entertainment,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002qysrvQAA,ICPA Aust - Isolated Children's Parents' Association,icpa.com.au,"USD 30,881,000",Drupal,"Charity, Non-Profit & Organizations",,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJGfQAO,TelephonesOnline,telephonesonline.com.au,"USD 30,763,000",Custom Build,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002enxgbQAA,BUSHMANS GROUP,bushmantanks.com.au,"USD 30,734,000",WooCommerce,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002czhxFQAQ,Beaurepaires Australia,beaurepaires.com.au,"USD 30,469,660",Adobe Commerce (Magento),Vehicles & Parts,"Rebranded to Advantage Tyres Solutions, another account already existing owned by BH. - SA, 14 Jan 2026",Outbound Motions,Shina,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kH8CiYAK,Ultra Tune,ultratune.com.au,"USD 30,379,858",WooCommerce,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002qyt6TQAQ,sdmg.com.au,http://sdmg.com.au,"USD 30,275,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,High,001OG00000kHUC0YAO,Kwik Kopy,kwikkopy.com.au,"USD 30,246,889",Other,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002lHZduQAG,Adbri Masonry,adbrimasonry.com.au,"USD 30,176,000",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002qytFwQAI,Cricket Victoria,cricketvictoria.com.au,"USD 29,675,000",WooCommerce,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002edrlsQAA,Goodyear & Dunlop Tyres Australia,goodyearautocare.com.au,"USD 29,624,000",Adobe Commerce (Magento),Services,,Outbound Motions,Shina,Select,Select,Reviewed - Service-based business
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,001OG00000kHgyPYAS,Bally AU,bally.com.au,"USD 29,542,833",Shopify Plan Advanced/Basic,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,001OG00000kHliaYAC,Fashion Biz,http://fashionbiz.co.nz,"USD 29,410,354",,Apparel & Accessories,B2B,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002lHaP6QAK,Headwear,headwear.com.au,"USD 29,235,000",Custom Build,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002lHZNUQA4,Hartwigs,hartwigs.com.au,"USD 29,102,000",WooCommerce,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJNhQAO,Multispares,multispares.com.au,"USD 29,095,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00000kHQ8HYAW,Lowes Corporate Wear,http://lowescorporatewear.com.au,"USD 28,743,478",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJNQQA4,Fagg Bros,faggs.com.au,"USD 28,692,000",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002qytHoQAI,melbournerebels.rugby,melbournerebels.rugby,"USD 28,563,000",,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00001DSohPYAT,Mebel Furniture,mebel.co.nz,"USD 28,487,000",,Furniture,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002f5XOvQAM,Petals Network,petals.com.au,"USD 28,487,000",Other,Gifts & Collectibles,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002qytSMQAY,Mercy Community,mercycommunity.org.au,"USD 28,173,000",WooCommerce,"Charity, Non-Profit & Organizations",,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,0018V00002kQJDZQA4,McGregor Gourlay,mcgregorgourlay.com.au,"USD 28,111,000",WooCommerce,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,001OG00000y95zpYAA,Camco Engineering,http://camcoeng.com.au,"USD 27,958,970",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002hEZV8QAO,Ferguson Plarre Bakehouses,fergusonplarre.com.au,"USD 27,931,000",Custom Build,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,0018V00002kQJEbQAO,Pursehouse Rural,pursehouserural.com.au,"USD 27,449,000",,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJGUQA4,Nutrien Ag Solutions,mircobros.com.au,"USD 27,408,000",,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002sP8bDQAS,Coolaroo,coolaroo.com,"USD 27,316,000",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,001OG000016MuDuYAK,"adidas NZ, Ltd.",adidas.co.nz,"USD 27,300,938",Custom Build,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002qyt5dQAA,Liquor Marketing Group,lmg.com.au,"USD 27,256,000",,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Medium,0018V00002kQJPzQAO,Realcold,realcold.co.nz,"USD 27,092,000",Custom Build,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002kQJFXQA4,Designa Accessories,designaaccessories.com.au,"USD 27,027,000",WooCommerce,Apparel & Accessories,Watch Distributor,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,High,0018V00002kQJ6aQAG,Logicar,logicar.com.au,"USD 26,954,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002qytIAQAY,Close the Loop Australia,closetheloop.com.au,"USD 26,817,000",WooCommerce,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002qytIwQAI,Porta Mouldings,porta.com.au,"USD 26,689,000",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002fLRsoQAG,St John Ambulance SA,stjohnsa.com.au,"USD 26,628,000",Drupal,"Charity, Non-Profit & Organizations",,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,0018V00002kQJIPQA4,Strathfield Car Radios,strathfieldcarradios.com.au,"USD 26,594,000",BigCommerce,Vehicles & Parts,,Outbound Motions,Shina,Connect SYD,Select,"Reviewed for BigCommerce OB cadence, low quality contacts - ie. Sales Manager, Car Detailer.
- Shina, 13 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002lHJQqQAO,Franklins,franklins.co.nz,"USD 26,552,000",Shopify Plan Advanced/Basic,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002lHaWJQA0,Continence Foundation of Australia,continence.org.au,"USD 26,538,000",Drupal,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002kQJKaQAO,Paslode ANZ,paslode.com.au,"USD 26,536,000",,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJOqQAO,Polyaire,polyaire.com.au,"USD 26,446,000",Adobe Commerce (Magento),Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002qytMjQAI,Davey,daveywater.com,"USD 26,387,000",Adobe Commerce (Magento),Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Low,0018V00002kQJGmQAO,Plastral,plastral.com.au,"USD 26,258,000",,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002kQJNFQA4,Lear & Smith,learsmith.com.au,"USD 26,167,000",Custom Build,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002qytY3QAI,North Jacklin,northjacklin.com.au,"USD 26,131,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00000kH31KYAS,Jones Family Business,jonesfamilybusiness.co.nz,"USD 26,053,855",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,High,0018V00002gGOv5QAG,Connetix Tiles,connetixtiles.com,"USD 26,000,000",WooCommerce,Toys & Games,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,0018V00002kQJEEQA4,Highway Tyres,highwaytyres.com.au,"USD 25,824,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,001OG000016MtX4YAK,"Global-E U.K., Ltd.",michaelkors.global,"USD 25,820,709",Other,Apparel & Accessories,"Dupe account, recent CW opp - SA, 16 Jan 2026",Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,High,0018V00002qytedQAA,AMCAP,amcap.com.au,"USD 25,820,000",,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,High,0018V00002dGz8TQAS,Torpedo7 Fitness Ltd,torpedo7.co.nz,"USD 25,760,000",Custom Build,Sports & Recreation (excl. Firearms),Storeleads says custom build,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002lHZeQQAW,North Sydney Leagues Club,norths.com.au,"USD 25,732,000",WooCommerce,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJFzQAO,Lyndons,lyndons.com.au,"USD 25,628,000",Other,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Poor Fit,Medium,0018V00002e8nXgQAI,Rocket Industries,rocketindustries.com.au,"USD 25,597,000",Adobe Commerce (Magento),Vehicles & Parts,,Outbound Motions,Shina,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Medium,0018V00002lHaDlQAK,Thirsty Camel,thirstycamel.com.au,"USD 25,000,000",Custom Build,Alcohol,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJFrQAO,Cavalier Bremworth,cavbrem.com.au,"USD 24,845,000",Shopify Plan Advanced/Basic,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJPsQAO,Homemakers Furniture & Bedding,homemakersfurniture.com.au,"USD 24,799,000",Other,Furniture,18.4: #Furniture - Send trends whitepaper.,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002lHZrGQAW,Major Dirtbox,http://majordirtbox.com.au,"USD 24,503,000",WooCommerce,Entertainment,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,High,0018V00002eoTcdQAE,Living Edge,living-edge-aust-pty-ltd.myshopify.com,"USD 24,378,000",Other,Furniture,SFCC Front-end framework = SFRA,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002lHZIKQA4,Brady Australia,bradyid.com.au,"USD 24,333,000",Adobe Commerce (Magento),Stationery & Office Supplies,#B2B,Outbound Motions,Shina,Select,Select,Reviewed - B2B SDR working account
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,001OG00000kHYOcYAO,Fremantle Dockers,fremantlefc.com.au,"USD 24,292,931",BigCommerce,Sports & Recreation (excl. Firearms),,Outbound Motions,Shina,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJGNQA4,James Glen,jamesglen.com.au,"USD 24,258,000",Other,Home Decor,"Open opp under Gauvin Group with AK - SA, 21 Jan 2026",Open Opp,Amaly,Select,Select,"Open opp under Gauvin Group with AK - SA, 21 Jan 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJEcQAO,The Pool Tile,pooltile.com.au,"USD 24,244,000",WooCommerce,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,,0018V00002kQJKbQAO,Eagles The Plumbing Shop,eaglesplumbingshop.com.au,"USD 24,238,000",WooCommerce,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,0018V00002kQJP0QAO,Home Direct,homedirect.co.nz,"USD 24,232,000",,Gifts & Collectibles,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,,001OG000016MvYvYAK,"L'Oréal Pty., Ltd.",kiehls.com.au,"USD 24,103,642",Other,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002enyNSQAY,Brasserie Bread,brasseriebread.com.au,"USD 24,099,000",WooCommerce,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002lHZSEQA4,Avida RV,avidarv.com.au,"USD 24,008,000",WooCommerce,Travel & Tourism,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002qytTDQAY,Vermeer Australia,http://vermeer.com.au,"USD 23,914,000",WooCommerce,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG00000kHGgmYAG,Momento Hospitality,momentohospitality.com.au,"USD 23,896,841",WooCommerce,Travel & Tourism,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,High,0018V00002lHab4QAC,Spudbar,spudbar.com.au,"USD 23,677,000",WooCommerce,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002kQJJZQA4,SafetyQuip,safetyquip.com.au,"USD 23,654,000",WooCommerce,Stationery & Office Supplies,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Medium,0018V00002ieSb5QAE,Wests Tigers,weststigers.com.au,"USD 23,638,000",Other,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002qytaxQAA,Neutrog Australia,neutrog.com.au,"USD 23,555,000",WooCommerce,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG00000kHP9TYAW,Starlight,starlight.org.au,"USD 23,460,037",Shopify Plan Advanced/Basic,"Charity, Non-Profit & Organizations",,Select,Select,Select,Select,
